"Black Friday Scratch Card","Gila Friday Scratch Card"
"Scratch to reveal your gift!","Scratch to reveal your gift!"
"Scratch here","Scratch here"
"You won:","You won:"
"Drawing gift...","Drawing gift..."
"Could not apply prize.","Could not apply prize."
"Error. Please try again.","Error. Please try again."
"Prize already applied to this cart.","Prize already applied to this cart."
"Invalid form key.","Invalid form key."
"No active cart.","No active cart."
"Promotion not applicable.","Promotion not applicable."
"Prize product %1 must be Simple or Virtual.","Prize product %1 must be Simple or Virtual."
"Prize %1 is configurable but none of its child simples are salable.","Prize %1 is configurable but none of its child simples are salable."
"Prize product %1 is not salable (stock/website).","Prize product %1 is not salable (stock/website)."
"No valid prizes configured.","No valid prizes configured."
"Could not add prize: %1","Could not add prize: %1"
"Black Friday Gift","Gila Friday Gift"
"Add %1 EGP more to get a free gift","Add %1 EGP more to win one of these gifts below!"
"Click Here to Get A Free Gift","Tap to Scratch for a Free Gift!"
"Get Gift","Show Coupon"
"Congratulations, You Received ""%1""","Your Gift is Here! Enjoy ""%1"" For Free Now."