"Installment Plans","خطط التقسيط"
"Bank Installment","تقسيط البنوك"
"Direct Installment","تقسيط مباشر"
"The Installment Amount Is Approximate.","المبلغ التقريبي للقسط."
"The Actual Amount Will Be Shown During The Payment Process.","سيتم عرض المبلغ الفعلي أثناء عملية الدفع."
"You may be charged purchase fees.","قد يتم فرض رسوم شراء."
"Promo codes are not valid with installment plans.","لا يمكن استخدام أكواد الخصم مع خطط التقسيط."
"Months","شهور"
"The Installment Amount Is Approximate. The Actual Amount Will Be Shown During The Payment Process.","مبلغ القسط تقريبي. سيتم عرض المبلغ الفعلي أثناء عملية الدفع."
"NBE","البنك الأهلي"
"Misr","بنك مصر"
"BDC","بنك القاهرة"
"NBD","بنك أبو ظبي"
"Mashreq","بنك المشرق"
"CIB","البنك التجاري الدولي"
"NXT","بنك NXT"
"NBK","بنك الكويت الوطني"
"Forsa","فرصة"
"VALU","ڤاليو"
"Aman","أمان"
"Souhoola","سهولة"
"Most Helpful Customer Reviews","أكثر التقييمات فائدة"
"Price","السعر"
"Quality","الجودة"
"Value","القيمة"
"WRITE A REVIEW","اكتب تقييم"
"Admin Fees: Zero Admin Fees","زيرو رسوم أدارية"
"Interest Rate: Zero Interest Rate","زيرو فايدة"
"Down Payment: Zero Down Payment","زيرو مقدم"