"Installment Plans","Installment Plans"
"Bank Installment","Bank Installment"
"Direct Installment","Direct Installment"
"The Installment Amount Is Approximate.","The Installment Amount Is Approximate."
"The Actual Amount Will Be Shown During The Payment Process.","The Actual Amount Will Be Shown During The Payment Process."
"You may be charged purchase fees.","You may be charged purchase fees."
"Promo codes are not valid with installment plans.","Promo codes are not valid with installment plans."
"Months","Months"
"NBE","NBE"
"Misr","Misr"
"BDC","BDC"
"NBD","NBD"
"Mashreq","Mashreq"
"CIB","CIB"
"NXT","NXT"
"NBK","NBK"
"Forsa","Forsa"
"VALU","VALU"
"Aman","Aman"
"Souhoola","Souhoola"