"Quick Order","طلب سريع"
"Search by SKU or Product Name","ابحث برقم المنتج أو الاسم"
"Add All to Cart","أضف الكل إلى العربة"
"Thumbnail","صورة"
"Name","الاسم"
"SKU","رقم المنتج"
"Price","السعر"
"Quantity","الكمية"
"Unit Price","سعر الوحدة"
"Total Price","السعر الإجمالي"
"Total Items:","إجمالي العناصر:"
"Total Price:","إجمالي السعر:"
"Name:","الاسم:"
"SKU:","رقم المنتج:"
"Unit Price:","سعر الوحدة:"
"Quantity:","الكمية:"
"Availability:","التوفر:"
"Total Price:","السعر الإجمالي:"
"Availability","التوفر"
"Remove","حذف"
"✔","✔"
"✖","✖"
"Please enter valid product(s).","يرجى إدخال منتجات صحيحة."
"Products added to cart.","تمت إضافة المنتجات إلى العربة."
"Failed to add some products:","فشل إضافة بعض المنتجات:"